Epoch: [1][166/362]	Time 0.457 (0.802)	Data 0.001 (0.108)	Loss 0.4355 (0.9986)	MAE 0.603 (0.832)
Epoch: [1][167/362]	Time 0.471 (0.800)	Data 0.001 (0.107)	Loss 0.3344 (0.9946)	MAE 0.416 (0.830)
Epoch: [1][168/362]	Time 0.483 (0.798)	Data 0.002 (0.107)	Loss 0.7238 (0.9930)	MAE 0.734 (0.829)
Epoch: [1][169/362]	Time 0.503 (0.796)	Data 0.001 (0.106)	Loss 0.3394 (0.9892)	MAE 0.500 (0.827)
Epoch: [1][170/362]	Time 0.442 (0.794)	Data 0.001 (0.106)	Loss 1.0458 (0.9895)	MAE 0.960 (0.828)
Epoch: [1][171/362]	Time 0.662 (0.793)	Data 0.001 (0.105)	Loss 0.1374 (0.9845)	MAE 0.349 (0.825)
Epoch: [1][172/362]	Time 1.247 (0.796)	Data 0.040 (0.105)	Loss 0.5816 (0.9822)	MAE 0.564 (0.824)
Epoch: [1][173/362]	Time 0.462 (0.794)	Data 0.003 (0.104)	Loss 1.4479 (0.9849)	MAE 0.976 (0.825)
Epoch: [1][174/362]	Time 1.295 (0.797)	Data 0.001 (0.103)	Loss 0.4775 (0.9819)	MAE 0.669 (0.824)
Epoch: [1][175/362]	Time 1.245 (0.800)	Data 0.001 (0.103)	Loss 0.7459 (0.9806)	MAE 0.765 (0.823)
Epoch: [1][176/362]	Time 0.603 (0.799)	Data 0.012 (0.102)	Loss 0.5219 (0.9780)	MAE 0.705 (0.823)
Epoch: [1][177/362]	Time 1.917 (0.805)	Data 0.001 (0.102)	Loss 0.4433 (0.9750)	MAE 0.620 (0.822)
Epoch: [1][178/362]	Time 0.911 (0.805)	Data 0.047 (0.101)	Loss 1.5740 (0.9783)	MAE 1.218 (0.824)
Epoch: [1][179/362]	Time 0.455 (0.803)	Data 0.001 (0.101)	Loss 0.7025 (0.9768)	MAE 0.743 (0.823)
Epoch: [1][180/362]	Time 0.462 (0.802)	Data 0.001 (0.100)	Loss 0.3110 (0.9731)	MAE 0.473 (0.821)
Epoch: [1][181/362]	Time 1.173 (0.804)	Data 0.001 (0.100)	Loss 0.9423 (0.9729)	MAE 0.974 (0.822)
Epoch: [1][182/362]	Time 0.629 (0.803)	Data 0.040 (0.099)	Loss 0.8330 (0.9722)	MAE 0.883 (0.823)
Epoch: [1][183/362]	Time 0.457 (0.801)	Data 0.001 (0.099)	Loss 0.5019 (0.9696)	MAE 0.657 (0.822)
Epoch: [1][184/362]	Time 0.475 (0.799)	Data 0.001 (0.098)	Loss 0.5918 (0.9675)	MAE 0.710 (0.821)
Epoch: [1][185/362]	Time 1.169 (0.801)	Data 0.001 (0.098)	Loss 1.4101 (0.9699)	MAE 0.987 (0.822)
Epoch: [1][186/362]	Time 0.535 (0.800)	Data 0.002 (0.097)	Loss 0.3579 (0.9666)	MAE 0.541 (0.820)
Epoch: [1][187/362]	Time 1.221 (0.802)	Data 0.001 (0.097)	Loss 2.5845 (0.9753)	MAE 1.655 (0.825)
Epoch: [1][188/362]	Time 1.268 (0.804)	Data 0.001 (0.096)	Loss 0.2671 (0.9715)	MAE 0.489 (0.823)
Epoch: [1][189/362]	Time 0.873 (0.805)	Data 0.001 (0.096)	Loss 1.7885 (0.9758)	MAE 1.356 (0.826)
Epoch: [1][190/362]	Time 1.374 (0.808)	Data 0.070 (0.096)	Loss 1.6834 (0.9796)	MAE 1.195 (0.828)
Epoch: [1][191/362]	Time 0.988 (0.809)	Data 0.055 (0.095)	Loss 0.8531 (0.9789)	MAE 0.785 (0.828)
Epoch: [1][192/362]	Time 1.931 (0.814)	Data 0.001 (0.095)	Loss 0.7011 (0.9775)	MAE 0.835 (0.828)
Epoch: [1][193/362]	Time 1.019 (0.816)	Data 0.001 (0.094)	Loss 1.2092 (0.9787)	MAE 1.095 (0.829)
Epoch: [1][194/362]	Time 0.614 (0.814)	Data 0.027 (0.094)	Loss 0.4325 (0.9758)	MAE 0.608 (0.828)
Epoch: [1][195/362]	Time 0.438 (0.813)	Data 0.001 (0.094)	Loss 0.8862 (0.9754)	MAE 0.727 (0.827)
Epoch: [1][196/362]	Time 0.462 (0.811)	Data 0.001 (0.093)	Loss 0.4315 (0.9726)	MAE 0.644 (0.826)
Epoch: [1][197/362]	Time 0.477 (0.809)	Data 0.001 (0.093)	Loss 0.3458 (0.9694)	MAE 0.519 (0.825)
Epoch: [1][198/362]	Time 0.434 (0.807)	Data 0.006 (0.092)	Loss 0.3525 (0.9663)	MAE 0.580 (0.824)
Epoch: [1][199/362]	Time 0.495 (0.806)	Data 0.001 (0.092)	Loss 0.4177 (0.9636)	MAE 0.577 (0.822)
Epoch: [1][200/362]	Time 1.128 (0.807)	Data 0.001 (0.091)	Loss 0.9848 (0.9637)	MAE 0.763 (0.822)
Epoch: [1][201/362]	Time 0.782 (0.807)	Data 0.119 (0.091)	Loss 1.0076 (0.9639)	MAE 0.933 (0.823)
Epoch: [1][202/362]	Time 1.173 (0.809)	Data 0.053 (0.091)	Loss 0.6190 (0.9622)	MAE 0.743 (0.822)
